+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| monomorphization_collector_graph_walk .................................  | 334.76ms  | 0.030           | 10.47s   | 1          | 0          | 0.00ns       |
| has_ffi_unwind_calls ..................................................  | 317.27ms  | 0.028           | 12.96s   | 20934      | 41868      | 0.00ns       |
| fn_sig ................................................................  | 313.33ms  | 0.028           | 691.10ms | 10222      | 2516055    | 383.55µs     |
| eval_to_allocation_raw ................................................  | 308.74ms  | 0.027           | 759.86ms | 17212      | 3          | 0.00ns       |
| explicit_predicates_of ................................................  | 291.08ms  | 0.026           | 296.84ms | 38035      | 40131      | 0.00ns       |
| late_resolve_crate ....................................................  | 282.04ms  | 0.025           | 283.27ms | 1          | 0          | 0.00ns       |
| resolve_instance_raw ..................................................  | 281.15ms  | 0.025           | 2.23s    | 196879     | 1267949    | 0.00ns       |
| mir_pass_lower_intrinsics .............................................  | 254.62ms  | 0.023           | 254.62ms | 23036      | 0          | 0.00ns       |
| run_linker ............................................................  | 252.42ms  | 0.022           | 252.42ms | 1          | 0          | 0.00ns       |
| type_op_normalize_fn_sig ..............................................  | 241.46ms  | 0.021           | 1.59s    | 27036      | 8499       | 0.00ns       |
| misc_checking_1 .......................................................  | 236.30ms  | 0.021           | 264.10ms | 1          | 0          | 0.00ns       |
| codegen_fn_attrs ......................................................  | 224.88ms  | 0.020           | 414.78ms | 23296      | 5800342    | 43.13µs      |
| generics_of ...........................................................  | 220.21ms  | 0.020           | 344.54ms | 38793      | 43230624   | 1.12ms       |
| explicit_item_self_bounds .............................................  | 213.98ms  | 0.019           | 214.18ms | 3434       | 3405       | 0.00ns       |
| param_env .............................................................  | 203.04ms  | 0.018           | 254.94ms | 29856      | 444516     | 190.49µs     |
| module_lints ..........................................................  | 199.55ms  | 0.018           | 825.65ms | 1          | 0          | 0.00ns       |
| coherent_trait ........................................................  | 195.50ms  | 0.017           | 257.16ms | 1418       | 34550      | 187.52ms     |
| region_scope_tree .....................................................  | 193.86ms  | 0.017           | 1.03s    | 20934      | 41868      | 0.00ns       |
| mir_pass_promote_temps ................................................  | 189.64ms  | 0.017           | 263.02ms | 20934      | 0          | 0.00ns       |
| opaque_types_defined_by ...............................................  | 176.37ms  | 0.016           | 292.84ms | 20934      | 32055      | 0.00ns       |
| LLVM_thin_lto_global_analysis .........................................  | 172.11ms  | 0.015           | 172.11ms | 1          | 0          | 0.00ns       |
| mir_pass_dead_store_elimination_initial ...............................  | 162.26ms  | 0.014           | 162.26ms | 20232      | 0          | 0.00ns       |
| mir_pass_post_analysis_normalize ......................................  | 156.69ms  | 0.014           | 369.94ms | 23036      | 0          | 0.00ns       |
| LLVM_thin_lto_rename ..................................................  | 153.98ms  | 0.014           | 153.98ms | 16         | 0          | 0.00ns       |
| mir_pass_subtyper .....................................................  | 141.41ms  | 0.013           | 141.41ms | 23036      | 0          | 0.00ns       |
| mir_pass_elaborate_box_derefs .........................................  | 141.33ms  | 0.013           | 141.33ms | 23036      | 0          | 0.00ns       |
| type_of ...............................................................  | 141.11ms  | 0.013           | 21.94s   | 39461      | 34864921   | 511.16µs     |
| needs_async_drop_raw ..................................................  | 138.20ms  | 0.012           | 139.27ms | 14975      | 122760     | 0.00ns       |
| mir_pass_simplify_cfg_pre_optimizations ...............................  | 131.88ms  | 0.012           | 131.88ms | 23036      | 0          | 0.00ns       |
| mir_pass_remove_noop_landing_pads .....................................  | 127.85ms  | 0.011           | 127.85ms | 64693      | 0          | 0.00ns       |
| mir_pass_simplify_cfg_initial .........................................  | 127.59ms  | 0.011           | 127.59ms | 20934      | 0          | 0.00ns       |
| assert_symbols_are_distinct ...........................................  | 122.41ms  | 0.011           | 908.25ms | 1          | 0          | 0.00ns       |
| explicit_item_bounds ..................................................  | 122.13ms  | 0.011           | 122.22ms | 3417       | 99962      | 0.00ns       |
| check_tail_calls ......................................................  | 106.08ms  | 0.009           | 150.50ms | 20934      | 0          | 0.00ns       |
