+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| coroutine_kind ........................................................  | 42.43ms   | 0.004           | 42.46ms  | 24339      | 454044     | 0.00ns       |
| deduced_param_attrs ...................................................  | 42.39ms   | 0.004           | 617.47ms | 20936      | 134428     | 0.00ns       |
| mir_pass_scalar_replacement_of_aggregates .............................  | 40.65ms   | 0.003           | 40.65ms  | 20232      | 0          | 0.00ns       |
| is_sized_raw ..........................................................  | 40.11ms   | 0.003           | 239.59ms | 10923      | 114000     | 0.00ns       |
| should_inherit_track_caller ...........................................  | 38.80ms   | 0.003           | 38.80ms  | 20934      | 0          | 0.00ns       |
| vtable_allocation .....................................................  | 38.63ms   | 0.003           | 39.30ms  | 2728       | 225        | 0.00ns       |
| vtable_entries ........................................................  | 38.48ms   | 0.003           | 88.49ms  | 3234       | 4393       | 0.00ns       |
| mir_pass_cleanup_post_borrowck ........................................  | 37.89ms   | 0.003           | 37.89ms  | 23036      | 0          | 0.00ns       |
| get_lang_items ........................................................  | 37.40ms   | 0.003           | 37.55ms  | 1          | 80016374   | 0.00ns       |
| check_transmutes ......................................................  | 37.21ms   | 0.003           | 66.36ms  | 8221       | 0          | 0.00ns       |
| type_op_normalize_ty ..................................................  | 36.84ms   | 0.003           | 41.82ms  | 14819      | 36949      | 0.00ns       |
| inhabited_predicate_type ..............................................  | 36.18ms   | 0.003           | 52.68ms  | 14414      | 322893     | 263.69µs     |
| eval_to_const_value_raw ...............................................  | 35.87ms   | 0.003           | 785.75ms | 20320      | 206001     | 0.00ns       |
| mir_pass_simplify_cfg_after_unreachable_enum_branching ................  | 34.93ms   | 0.003           | 34.93ms  | 20232      | 0          | 0.00ns       |
| mir_pass_match_branch_simplification ..................................  | 34.59ms   | 0.003           | 34.59ms  | 20232      | 0          | 0.00ns       |
| resolve_postprocess ...................................................  | 34.24ms   | 0.003           | 34.24ms  | 1          | 0          | 0.00ns       |
| mir_pass_unreachable_propagation ......................................  | 34.03ms   | 0.003           | 34.03ms  | 20232      | 0          | 0.00ns       |
| thir_abstract_const ...................................................  | 33.70ms   | 0.003           | 33.70ms  | 20934      | 0          | 0.00ns       |
| is_freeze_raw .........................................................  | 33.69ms   | 0.003           | 841.08ms | 20297      | 151052     | 0.00ns       |
| cgu_partitioning_internalize_symbols ..................................  | 33.17ms   | 0.003           | 33.17ms  | 1          | 0          | 0.00ns       |
| mir_pass_add_call_guards ..............................................  | 33.07ms   | 0.003           | 33.07ms  | 74977      | 0          | 0.00ns       |
| link_binary ...........................................................  | 32.57ms   | 0.003           | 273.61ms | 1          | 0          | 0.00ns       |
| specialization_graph_of ...............................................  | 32.46ms   | 0.003           | 89.74ms  | 245        | 62836      | 5.84ms       |
| hir_owner_parent ......................................................  | 32.34ms   | 0.003           | 32.34ms  | 14862      | 641247     | 0.00ns       |
| LLVM_thin_lto_internalize .............................................  | 32.16ms   | 0.003           | 32.16ms  | 16         | 0          | 0.00ns       |
| AST_validation ........................................................  | 31.66ms   | 0.003           | 31.66ms  | 1          | 0          | 0.00ns       |
| hir_crate_items .......................................................  | 30.41ms   | 0.003           | 579.15ms | 1          | 31         | 0.00ns       |
| mir_pass_simplify_const_condition_after_const_prop ....................  | 29.21ms   | 0.002           | 29.21ms  | 20232      | 0          | 0.00ns       |
| mir_pass_simplify_locals_final ........................................  | 28.84ms   | 0.002           | 28.84ms  | 20232      | 0          | 0.00ns       |
| promoted_mir ..........................................................  | 28.70ms   | 0.002           | 70.71ms  | 496        | 10572      | 0.00ns       |
| fn_arg_idents .........................................................  | 28.67ms   | 0.002           | 28.67ms  | 8017       | 0          | 0.00ns       |
| variances_of ..........................................................  | 28.14ms   | 0.002           | 67.42ms  | 4355       | 1146138    | 124.53µs     |
